Smiles,IC50,pIC50
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)COC5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,13.0,7.886056647693163
Cc1cc(Nc2cc(C(F)F)ccn2)nc(-c2ccc(C[C@@H](O)C3CCC(C(=O)O)CC3)nc2)c1,1.0,9.0
CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,2500.0,5.6020599913279625
CC(C)(C)C1CCN(c2cccc(Nc3cc(-c4cccc(C(=O)O)c4)nn4ccnc34)n2)C1,695.95,6.157421960826385
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,12000.0,4.920818753952375
Cc1cc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)nnc2C(N)=O)cc2nn(C)cc12,0.26,9.585026652029182
NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1nc(-c2ccccc2)cs1,0.38,9.42021640338319
Cc1cc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)nnc2C(N)=O)cc2cn(C(C)(C)C)nc12,0.37,9.431798275933005
COc1cc(-c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c3cccnc3c2)cnc1OC,27.4,7.562249437179612
COc1ccc(-c2cc(OC[C@H]3CNC(=O)C3)c3cccnc3c2)cc1OC,8.4,8.075720713938118
C[C@@H](Oc1cc(-c2ccc3ccccc3n2)cc2ncccc12)[C@H]1CNC(=O)C1,0.4,9.397940008672037
C[C@@H](Oc1cc(I)cc2ncccc12)[C@H]1CNC(=O)C1,31.9,7.496209316942819
C[C@@H](Oc1cc(-c2ccc3[nH]cnc3c2)cc2ncccc12)[C@H]1CNC(=O)C1,0.3,9.522878745280337
Cn1ncc2ccc(-c3cc(OCc4ncccc4C(N)=O)c4cccnc4c3)cc21,1.0,9.0
NC(=O)c1cccnc1COc1cc(-c2ccc3c(c2)CCNC3=O)cc2ncccc12,7.7,8.113509274827518
Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2cnc(C3(O)CCCc4cc(-c5nnn[nH]5)ccc43)s2)c1,0.68,9.167491087293763
Cc1ccc(S(=O)(=O)NC(=O)c2ccc3c(c2)CCC[C@]3(O)c2ncc(-c3cc(C)cc(Nc4cc(C(F)(F)F)ccn4)n3)s2)cc1,1.18,8.928117992693874
CNC(=O)c1cc2cc(Nc3nccc(-c4cc(COC)ccn4)n3)cc(Cl)c2[nH]1,34.4,7.46344155742847
CNC(=O)c1cc2cc(Nc3nccc(-c4cc(COC)ccn4)n3)cc(C)c2[nH]1,7.2,8.142667503568731
CC(C)Nc1nc(-c2ccc(N3CCCC3=O)cc2)cc2ncn(C)c(=O)c12,614.0,6.211831628858833
CCNc1nc(-c2ccc(C(C)(C)N)cc2)cc2ncn(C)c(=O)c12,66.0,7.180456064458132
CCNc1nc(-c2ccc(S(=O)(=O)CCN3CCOCC3)cc2)cc2ncn(C)c(=O)c12,82.0,7.086186147616283
CCNc1nc(-c2ccc(C(C)(C)O)cc2)cc2ncn(C)c(=O)c12,147.0,6.8326826652518236
CC(C)Nc1nc(-c2cccc(S(N)(=O)=O)c2)cc2ncn(C)c(=O)c12,86.0,7.0655015487564325
CC(C)Nc1nc(-c2ccc(N3CCCC3)nc2)cc2ncn(C)c(=O)c12,621.0,6.20690839982342
CCN1CCN(c2ccc(-c3cc4ncn(C)c(=O)c4c(N[C@@H]4CCOC4)n3)cc2)CC1,36.0,7.443697499232712
Cn1cnc2cc(-c3ccc(N4CCS(=O)(=O)CC4)cc3)nc(N3CC[C@H](CO)C3)c2c1=O,66.0,7.180456064458132
Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(N3CCC[C@@H](CO)C3)c2c1=O,111.0,6.954677021213342
Cn1cnc2cc(-c3ccc(N4CCOCC4)c(F)c3)nc(N3CC[C@H](CO)C3)c2c1=O,401.0,6.396855627379818
O=c1[nH]cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(N3CC[C@H](CO)C3)c12,182.0,6.739928612014925
COCCNc1nc(-c2ccc(O)c(NC=O)c2)cc2ncn(C)c(=O)c12,174.0,6.7594507517174005
COc1cc(Nc2ncc(F)c(Nc3ccc4nc(C)cc(N)c4c3)n2)cc(OC)c1OC,2958.0,5.529001830339126
COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(C(N)=O)cc4)c3)cn3ccnc23)cc1OC,4.3,8.366531544420413
COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(C(=O)NS(C)(=O)=O)cc4)c3)cn3ccnc23)cc1OC,2.2,8.657577319177793
Cn1ccc2cccc(Nc3nc(N[C@@H]4CCCC[C@@H]4N)cc4nc[nH]c(=O)c34)c21,1600.0,5.795880017344075
Cc1cccc(Nc2nc(OCCN)ncc2C(N)=O)c1,2511.89,5.59999938302362
C[C@H](O)CNc1ccc(-c2cc3ncn(C)c(=O)c3c(N[C@@H]3CCOC3)n2)cc1S(C)(=O)=O,27.0,7.568636235841013
CC(C)Nc1nc(-c2ccc(S(=O)(=O)CCN(C)C)cc2)cc2ncn(C)c(=O)c12,316.0,6.5003129173815966
Cn1cnc2cc(-c3ccc(C(C)(C)O)nc3)nc(N[C@@H]3CCNC3)c2c1=O,1598.0,5.796423225022028
COCCNc1nc(-c2cnc(N3CCOCC3)nc2)cc2ncn(C)c(=O)c12,1536.0,5.813608784304507
Cn1cnc2cc(-c3ccc(C(C)(C)O)nc3)nc(NCCCC(=O)O)c2c1=O,2707.0,5.567511744229494
CCN1CCN(c2ccc(-c3cc4ncn(C)c(=O)c4c(NCCOC)n3)cn2)CC1,75.0,7.1249387366083
CC(C)Nc1nc(-c2ccc(N3CCOCC3)[n+]([O-])c2)cc2ncn(C)c(=O)c12,598.0,6.223298816011589
Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(N[C@@H]3CCNC3)c2c1=O,116.0,6.935542010773082
CN1CCN(c2ccc(-c3cc4ncn(C)c(=O)c4c(Nc4nc(CO)cs4)n3)cc2)CC1,161.0,6.79317412396815
Cn1cnc2cc(-c3ccc(C(C)(C)O)nc3)nc(N[C@H]3CCOC3)c2c1=O,463.0,6.334419008982047
Cn1cnc2cc(-c3ccc(N4CCN(C5CC5)CC4)cc3)nc(N3CC[C@H](CO)C3)c2c1=O,81.0,7.0915149811213505
Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(OCCn3ccnc3)c2c1=O,159.0,6.798602875679548
Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(NC[C@@H]3CC[C@](C)(O)C3)c2c1=O,843.0,6.074172425375258
